College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
4672,Stella Mary's College of Engineering Arunthengan Vilai Azhikal Post Kanyakumari District 629202,CS,COMPUTER SCIENCE AND ENGINEERING,146.0,128.5,,116.5,,,,,
2620,Vivekanandha College of Engineering for Women (Autonomous) Sathinaickenpalayam Elayampalayam Village Kumaramangalam Namakkal District 637205,BT,BIO TECHNOLOGY,146.0,127,,108.5,,,111,130.5,113.5
2607,K S Rangasamy College of Technology (Autonomous) Tiruchengode Namakkal District 637215,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,146.0,135.5,,135.5,,,,,
1509,Meenakshi College of Engineering Vembuliamman Koil Street K K Nagar (West) Chennai 600078,IT,INFORMATION TECHNOLOGY,145.5,126,122,127.5,,,111.5,,
2750,KIT - Kalaignar Karunanidhi Institute of Technology (Autonomous) Kannampalayam Coimbatore District 641402,BT,BIO TECHNOLOGY,145.5,129,111,127.5,,,116,123.5,
2328,K S R Institute for Engineering and Technology (Autonomous) Thokkavadi Namakkal District 637215,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,145.5,135.5,118.5,135.5,,,,120,
2609,Mahendra Engineering College (Autonomous) Mahendhirapuri Mallasamudram Namakkal District 637503,CS,COMPUTER SCIENCE AND ENGINEERING,145.5,128,,130,,,100,,130
4959,Kamaraj College of Engineering and Technology (Autonomous) Virudhunagar District 626001,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,145.5,143,,,,,,,
1137,Annai Mira College of Engineering and Technology Arcot Road Arappakkam Village Walaja Taulk Ranipet District 632 517,IT,INFORMATION TECHNOLOGY,145.5,131.5,,133,,,,105,127.5
1414,Prince Shri Venkateshwara Padmavathy Engineering College (Autonomous) Ponmar Chennai 600048,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,145.5,118.5,,110,,,,,
3807,J J College of Engineering and Technology Poolankulathupatti Post Tiruchirappalli District 620009,SC,Computer Science and Engineering (Cyber Security),145.5,131.5,143.5,122.5,,,,,
1316,Agni College of Technology Old Mahabalipuram Road (OMR) Thalambur Village Chengalpattu District 603103,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,145.5,130,127,130.5,,,108.5,,
2651,Jai Shriram Engineering College Dharapuram Road Avinashi Palayam Tiruppur District 638660,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,145.5,125.5,,115,,,,123,
2709,Government College of Engineering (Formerly Institute of Road and Transport Technology) Vasavi College Post Erode District 638316,AU,AUTOMOBILE ENGINEERING,145.5,134.5,132.5,133,,,104,118,
1238,G R T Institute of Engineering and Technology GRT Mahalakshmi Nagar Chennai-Tirupathi Highway Tiruttani Taluk Thiruvallur District 631209,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,145.5,124.5,110,126.5,,,,107,
2741,P A College of Engineering and Technology (Autonomous) Palladam Road Pollachi Coimbatore District 642002,IT,INFORMATION TECHNOLOGY,145.5,135,129.5,126,,,103,116,
3819,Saranathan College of Engineering Panjappur Tiruchirappalli District 620012,IC,INSTRUMENTATION AND CONTROL ENGINEERING,145.0,138.5,158.5,132.5,,,102,,
2744,Adithya Institute of Technology Kurumbapalayam Village Coimbatore District 641107,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,145.0,132,,135.5,,,119.5,139.5,
5832,N P R College of Engineering and Technology (Autonomous) Natham Dindigul District 624401,CS,COMPUTER SCIENCE AND ENGINEERING,145.0,132.5,132,114.5,,,,119.5,
4944,Arunachala College of Engineering for Women Thanka Gardens Manavilai Vellichanthai Nagercoil Kanyakumari District 629203,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,145.0,124,105,,,,,,
2750,KIT - Kalaignar Karunanidhi Institute of Technology (Autonomous) Kannampalayam Coimbatore District 641402,AE,AERONAUTICAL ENGINEERING,145.0,124,,113,,,112,111.5,121.5
2673,Sree Sakthi Engineering College Bettathapuram Bilichi Village Karamadai Coimbatore District 641104,IT,INFORMATION TECHNOLOGY,145.0,123,114,110.5,,,100,108,
1310,Misrimal Navajee Munoth Jain Engineering College Rajiv Gandhi Salai (OMR) Thorappakkam Chennai 600096,IT,INFORMATION TECHNOLOGY,145.0,138.5,126,134,,,113,,
1225,Loyola Institute of Technology Mevaloorkuppam B Village Palanchoor Nazarethpet Post Chennai 600123,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,145.0,134.5,127.5,131.5,,,97.5,,
1110,Prathyusha Engineering college (Autonomous) Aranvoyalkuppam Thiruvallur District 602025,AM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),145.0,131.5,,133.5,,,,,
2721,Tamilnadu College of Engineering Karumathampatti Post Coimbatore District 641659,IT,INFORMATION TECHNOLOGY,145.0,116.5,107.5,112.5,,,,,
2357,V S B College of Engineering Technical Campus Ealur Pirivu Solavampalayam Post Coimbatore District 642109,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,145.0,129.5,126,114,,,,,
1120,Velammal Engineering College (Autonomous) Ambattur-Redhills Road Chennai 600066,CE,CIVIL ENGINEERING,144.5,101.5,,106.5,,,,,
5865,Nadar Saraswathi College of Engineering and Technology Vadupudupatti Annanji Post Theni District 625531,IT,INFORMATION TECHNOLOGY,144.5,135,140.5,125,,,,,
2639,R P Sarathy Institute of Technology Poosaripatty Kadaympatty Taluk Salem Tamil Nadu-636305,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,144.5,113.5,94.5,132,,,96.5,113,
1422,SRM Valliammai Engineering College (Autonomous) Kattankulathur Chennai 603203,CE,CIVIL ENGINEERING,144.5,136.5,135,123,,,91,103.5,
5832,N P R College of Engineering and Technology (Autonomous) Natham Dindigul District 624401,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,144.5,133.5,127,113.5,,,,,
1118,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous) Avadi-Alamathi Road Chennai 600 062,BM,BIO MEDICAL ENGINEERING,144.5,129.5,109.5,111.5,,,118,,96.5
1405,Dhanalakshmi College of Engineering Manimangalam Chennai 601301,CS,COMPUTER SCIENCE AND ENGINEERING,144.5,133.5,137,120.5,,,108.5,,
3819,Saranathan College of Engineering Panjappur Tiruchirappalli District 620012,ME,MECHANICAL ENGINEERING,144.5,127.5,136,,,,,,
5910,"P S N A Colllege of Engineering and Technology (Autonomous), Dindigul District 624622",CE,CIVIL ENGINEERING,144.5,119.5,116.5,114,,,106,,
1110,Prathyusha Engineering college (Autonomous) Aranvoyalkuppam Thiruvallur District 602025,IT,INFORMATION TECHNOLOGY,144.5,134.5,115,140,,,102.5,,
1301,Mohammed Sathak A J College of Engineering Old Mahabalipuram Road (OMR) Egattur Chengalpattu District 603103,CS,COMPUTER SCIENCE AND ENGINEERING,144.5,114,135,103,,,93,,
1408,I F E T College of Engineering (Autonomous) Gangarampalayam Villupuram District 605108,SC,Computer Science and Engineering (Cyber Security),144.5,125,138.5,141,,,,,
