College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST,Year
2734,"SNS College of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore District 641107",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,160.5,154.5,149.5,139.5,,,,,,2022
1210,"Panimalar Engineering College (Autonomous), Nazarethpet, Poonamallee, Chennai 602123",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,160.5,153.0,129.0,146.0,,,,,,2022
2329,"Rathinam Technical Campus, Pollachi Road, Eachanari, Coimbatore District 641021",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,160.5,148.0,160.5,142.5,,,109.5,152.0,,2022
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",AM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),160.5,123.0,129.5,144.5,,,129.5,,,2022
1115,"Sri Ram Engineering College, Perumalpattu, Veppampattu (R S), Thiruvallur District 602 024",CS,COMPUTER SCIENCE AND ENGINEERING,160.5,140.5,,142.0,,,,,,2022
4917,"Sethu Institute of Technology (Autonomous), Kariapatti Post, Virudhunagar District 626115",CS,COMPUTER SCIENCE AND ENGINEERING,160.5,147.0,155.0,116.0,,,,88.0,,2022
2721,"Tamilnadu College of Engineering, Karumathampatti Post, Coimbatore District 641659",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,160.5,134.0,,133.5,,,128.0,,,2022
5910,"P S N A Colllege of Engineering and Technology, Dindigul District 624622",BM,BIO MEDICAL ENGINEERING,160.5,152.5,154.5,139.5,,,,,,2022
3701,"K Ramakrishnan College of Technology (Autonomous), Kariyamanickam Road, Samayapuram, Manachanallur Taluk, Tiruchirappalli District 621112",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,160.5,153.5,153.0,134.5,,,,112.0,,2022
1520,"Kingston Engineering College, Chithoor Main Road, Christianpet Village, Katpadi Taluk, Vellore District 632059",IT,INFORMATION TECHNOLOGY,160.0,131.0,138.0,112.0,,,80.5,,,2022
2764,"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",ME,MECHANICAL ENGINEERING,160.0,150.0,126.5,122.5,,,,116.5,,2022
5865,"Nadar Saraswathi College of Engineering and Technology, Vadupudupatti, Annanji Post, Theni District 625531",CS,COMPUTER SCIENCE AND ENGINEERING,160.0,136.5,156.5,128.0,,,,,,2022
2734,"SNS College of Engineering (Autonomous), Sathy Main Road, Kurumbapalayam Post, Coimbatore District 641107",SB,Computer Science and Engineering (Internet of Things and Cyber Security including Block Chain Technology),160.0,152.0,147.5,143.0,,,,,,2022
4971,"St. Xavier's Catholic College of Engineering, Chunkankadai, Nagercoil, Kanyakumari District 629807",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,160.0,152.0,146.5,,,,,,,2022
2329,"Rathinam Technical Campus, Pollachi Road, Eachanari, Coimbatore District 641021",AG,AGRICULTURAL ENGINEERING,159.725,134.0,140.5,112.0,,,152.525,120.5,,2022
1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai 603203",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,159.5,146.5,141.0,137.0,,,87.0,154.5,,2022
2750,"KIT - Kalaignar Karunanidhi Institute of Technology (Autonomous), Kannampalayam, Coimbatore District 641402",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,159.5,151.0,137.5,139.5,,,103.5,143.0,91.5,2022
5904,"K L N College of Engineering (Autonomous), Pottapalayam, Sivagangai District 630611",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,159.5,154.5,131.0,102.5,,,,,,2022
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",IT,INFORMATION TECHNOLOGY,159.5,133.0,130.0,141.5,,,128.0,81.0,116.5,2022
2750,"KIT - Kalaignar Karunanidhi Institute of Technology (Autonomous), Kannampalayam, Coimbatore District 641402",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,159.5,155.0,144.0,140.0,,,115.5,156.5,,2022
3826,"Kongunadu College of Engineering and Technology (Autonomous), Tholurpatti, Thottiyam, Tiruchirappalli District 621215",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,159.5,149.5,145.0,148.5,,,116.5,151.47,,2022
2704,"Coimbatore Institute of Engineering and Technolgoy (Autonomous), Narasipuram Post, Coimbatore District 641109",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,159.5,150.5,133.0,136.0,,,121.5,,,2022
1419,"Sri Sai Ram Enginering College (Autonomous), West Tambaram, Chennai 600044",ME,MECHANICAL ENGINEERING,159.5,140.5,119.5,139.0,,,116.5,,,2022
1408,"I F E T College of Engineering (Autonomous), Gangarampalayam, Villupuram District 605108",IT,INFORMATION TECHNOLOGY,159.5,135.5,149.0,143.5,,,111.5,,,2022
2613,"K S R College of Engineering (Autonomous), Tiruchengode, Namakkal District 637215",CS,COMPUTER SCIENCE AND ENGINEERING,159.0,152.0,128.5,134.5,,,,,,2022
2721,"Tamilnadu College of Engineering, Karumathampatti Post, Coimbatore District 641659",CS,COMPUTER SCIENCE AND ENGINEERING,159.0,138.0,,143.0,,,128.5,,,2022
2611,"Paavai Engineering College (Autonomous) , NH-7, Pachal Post, Namakkal District 637018",IT,INFORMATION TECHNOLOGY,159.0,139.04,144.5,137.5,,,,,,2022
1311,"K C G College of Technology, Karappakkam, Chennai 600096",AE,AERONAUTICAL ENGINEERING,159.0,132.5,142.5,128.0,,,,,,2022
1114,"S A Engineering College (Autonomous), Thiruverkadu, Chennai 600077",IT,INFORMATION TECHNOLOGY,159.0,152.815,153.0,144.0,,,115.5,,,2022
1122,"Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous), Avadi-Alamathi Road, Chennai 600 062",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,159.0,152.0,138.5,145.5,,,98.5,,,2022
1412,"Mailam Engineering College, Mailam, Villupuram District 604304",IT,INFORMATION TECHNOLOGY,158.5,113.0,150.0,132.5,,,125.0,,,2022
4965,"P S R Engineering College (Autonomous), Appayanaickenpatti, Sevalpatty, Virudhunagar District 626140",CS,COMPUTER SCIENCE AND ENGINEERING,158.5,141.0,142.0,145.0,,,107.5,,,2022
1311,"K C G College of Technology, Karappakkam, Chennai 600096",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,158.5,143.5,,134.5,,,,,,2022
1225,"Loyola Institute of Technology, Mevaloorkuppam, B Village, Palanchoor, Nazarethpet Post, Chennai 600123",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,158.5,150.5,149.5,138.5,,,112.5,,,2022
2025,"Anna University Regional Campus - Coimbatore, Maruthamalai Main Road, Navavoor Bharathiyar University Post, Somayampalayam, Coimbatore District 641046",ME,MECHANICAL ENGINEERING,158.5,138.5,145.0,134.0,,,122.0,105.5,131.0,2022
1504,"Arunai Engineering College, Mathur, Thiruvannamalai District 606603",IT,INFORMATION TECHNOLOGY,158.045,150.0,127.955,130.0,,,150.0,,,2022
